,Gene_symbol,Log_FoldChange,PValue
619,RN7SL2,-1.432,0.000775620460119947
620,IFITM2,-1.901,0.000769639430294537
622,NUFIP2,-1.028,0.0007809078609101
623,DHX34,-1.5330000000000001,0.000786622147990723
624,SMCHD1,-1.405,0.0007870480009825219
625,ARL11,-1.01,0.000794334383795035
626,SRXN1,-1.287,0.0008061547788121911
628,CMTM2,-2.853,0.000808065184869669
629,HIST2H2BF,-2.17,0.00081726276753056
631,BCL10,-1.226,0.000816913742718007
632,SBNO2,-1.321,0.000820962953283125
633,FAM3D,-2.238,0.000825295757610111
634,MAK,-2.19,0.000829250578161137
635,TAP1,-2.846,0.00082782168376884
636,FNIP1,-1.393,0.0008265153674672231
637,CSF2RA,-1.099,0.000829225951672209
638,FAM83A,-3.4389999999999996,0.0008349307764779151
640,CXCL6,-2.59,0.0008436285958349151
641,HIST1H2BC,-2.331,0.000842935970291216
643,F11R,-1.357,0.000842094741197126
644,MARCH8,-1.426,0.000849832860026559
645,NR3C1,-1.015,0.000849802973483431
647,LILRA1,-1.47,0.00085458872746206
649,CTBS,-1.258,0.0008530535034874519
650,CEACAM4,-1.8769999999999998,0.000861240839246405
652,PLEKHG3,-1.496,0.000862960482119294
655,RELL1,-1.256,0.000870020521237932
656,ALPL,-3.467,0.0008688864887499361
657,RASSF7,-3.048,0.00087489023170477
659,NADK,-1.254,0.000886416104314489
662,DAXX,-2.305,0.0009026018386271789
664,PTENP1,-1.4369999999999998,0.000899517879146482
666,ACTN1,-1.219,0.000901853871456318
667,LOC101927018,-1.8430000000000002,0.0009093342352416289
668,LOC729083,-1.992,0.000908830525565342
669,FYB,-1.121,0.00090745424365731
670,TRPM6,-1.886,0.0009151206525178221
672,PADI1,-2.575,0.000919796289369484
674,SLC22A18,-1.101,0.000921028635962677
675,C7orf34,-3.4410000000000003,0.000929373668783299
676,CDC42EP3,-1.026,0.000932221363785976
677,TFE3,-1.112,0.000935226748249051
678,C4B,-3.22,0.0009412835628592939
679,HIST2H2AA3,-1.9909999999999999,0.0009407523141984301
680,ATP6V1B2,-1.081,0.000942156380137368
682,SEZ6,-1.939,0.0009539070584752721
683,KCNJ15,-2.6630000000000003,0.000954398967586398
684,CBS,-2.676,0.000963183444536952
686,SERPINA1,-2.157,0.0009647682893642689
687,SRGN,-1.376,0.000971576606537255
688,P2RY13,-1.496,0.000978589346113337
689,ST3GAL2,-1.1320000000000001,0.000976687531162482
690,TLR2,-1.113,0.00097921173396856
692,LRRC6,-2.161,0.000990338729566108
693,SMG1P1,-1.112,0.000988119383838785
694,LAMP2,-1.239,0.00099040819358259
696,TMEM71,-1.06,0.000993372078273329
697,LOC105373098,-2.008,0.00100215447370099
699,NATD1,-1.27,0.00100080831190774
701,KY,-2.7489999999999997,0.00101211505415495
704,KCNJ2-AS1,-2.145,0.0010196366266846698
705,TRANK1,-1.286,0.00102511952165579
706,FRAT1,-1.2690000000000001,0.00102754956064816
